2025-05-21 16:11:37,Madrid,30\u00baC
2025-05-21 16:11:38,Berlin,27\u00baC
2025-05-21 16:11:39,Berlin,22\u00baC
2025-05-21 16:11:40,Madrid,32\u00baC
2025-05-21 16:11:41,Berlin,27\u00baC
2025-05-21 16:11:42,Paris,32\u00baC
2025-05-21 16:11:43,Rome,32\u00baC
2025-05-21 16:11:44,Rome,18\u00baC
2025-05-21 16:11:45,London,30\u00baC
2025-05-21 16:11:46,Paris,25\u00baC
2025-05-21 16:11:37,Madrid,30\u00baC
2025-05-21 16:11:38,Berlin,27\u00baC
2025-05-21 16:11:39,Berlin,22\u00baC
2025-05-21 16:11:40,Madrid,32\u00baC
2025-05-21 16:11:41,Berlin,27\u00baC
2025-05-21 16:11:42,Paris,32\u00baC
2025-05-21 16:11:43,Rome,32\u00baC
2025-05-21 16:11:44,Rome,18\u00baC
2025-05-21 16:11:45,London,30\u00baC
2025-05-21 16:11:46,Paris,25\u00baC
2025-05-21 16:17:23,Chicago,27\u00baC
2025-05-21 16:17:24,New York,18\u00baC
2025-05-21 16:17:25,New York,24\u00baC
2025-05-21 16:17:26,Los Angeles,26\u00baC
2025-05-21 16:17:27,Los Angeles,29\u00baC
2025-05-21 16:17:28,New York,30\u00baC
2025-05-21 16:17:29,New York,26\u00baC
2025-05-21 16:17:30,Seattle,22\u00baC
2025-05-21 16:17:31,New York,22\u00baC
2025-05-21 16:17:32,Los Angeles,23\u00baC
2025-05-21 16:11:37,Madrid,30\u00baC
2025-05-21 16:11:38,Berlin,27\u00baC
2025-05-21 16:11:39,Berlin,22\u00baC
2025-05-21 16:11:40,Madrid,32\u00baC
2025-05-21 16:11:41,Berlin,27\u00baC
2025-05-21 16:11:42,Paris,32\u00baC
2025-05-21 16:11:43,Rome,32\u00baC
2025-05-21 16:11:44,Rome,18\u00baC
2025-05-21 16:11:45,London,30\u00baC
2025-05-21 16:11:46,Paris,25\u00baC
2025-05-21 16:17:23,Chicago,27\u00baC
2025-05-21 16:17:24,New York,18\u00baC
2025-05-21 16:17:25,New York,24\u00baC
2025-05-21 16:17:26,Los Angeles,26\u00baC
2025-05-21 16:17:27,Los Angeles,29\u00baC
2025-05-21 16:17:28,New York,30\u00baC
2025-05-21 16:17:29,New York,26\u00baC
2025-05-21 16:17:30,Seattle,22\u00baC
2025-05-21 16:17:31,New York,22\u00baC
2025-05-21 16:17:32,Los Angeles,23\u00baC
2025-05-21 16:27:25,Makassar,31\u00baC
2025-05-21 16:27:26,Bandung,21\u00baC
2025-05-21 16:27:27,Batam,28\u00baC
2025-05-21 16:27:28,Bandung,31\u00baC
2025-05-21 16:27:29,Yogyakarta,23\u00baC
2025-05-21 16:11:37,Madrid,30\u00baC
2025-05-21 16:11:38,Berlin,27\u00baC
2025-05-21 16:11:39,Berlin,22\u00baC
2025-05-21 16:11:40,Madrid,32\u00baC
2025-05-21 16:11:41,Berlin,27\u00baC
2025-05-21 16:11:42,Paris,32\u00baC
2025-05-21 16:11:43,Rome,32\u00baC
2025-05-21 16:11:44,Rome,18\u00baC
2025-05-21 16:11:45,London,30\u00baC
2025-05-21 16:11:46,Paris,25\u00baC
2025-05-21 16:17:23,Chicago,27\u00baC
2025-05-21 16:17:24,New York,18\u00baC
2025-05-21 16:17:25,New York,24\u00baC
2025-05-21 16:17:26,Los Angeles,26\u00baC
2025-05-21 16:17:27,Los Angeles,29\u00baC
2025-05-21 16:17:28,New York,30\u00baC
2025-05-21 16:17:29,New York,26\u00baC
2025-05-21 16:17:30,Seattle,22\u00baC
2025-05-21 16:17:31,New York,22\u00baC
2025-05-21 16:17:32,Los Angeles,23\u00baC
2025-05-21 16:27:25,Makassar,31\u00baC
2025-05-21 16:27:26,Bandung,21\u00baC
2025-05-21 16:27:27,Batam,28\u00baC
2025-05-21 16:27:28,Bandung,31\u00baC
2025-05-21 16:27:29,Yogyakarta,23\u00baC
